pitch;roll;movimento
-0.746211;1.410094;Flexão Plantar
-0.748328;1.413451;Flexão Plantar
-0.758319;1.401186;Flexão Plantar
-0.758319;1.401186;Flexão Plantar
-0.784871;1.376742;Flexão Plantar
-0.771317;1.384372;Flexão Plantar
-0.771317;1.384372;Flexão Plantar
-0.748238;1.404518;Flexão Plantar
-0.761346;1.401735;Flexão Plantar
-0.749405;1.406726;Flexão Plantar
-0.06128;1.283701;Dorsilexão Plantar
-0.06128;1.283701;Dorsilexão Plantar
-0.052605;1.292957;Dorsilexão Plantar
-0.038621;1.318491;Dorsilexão Plantar
-0.038621;1.318491;Dorsilexão Plantar
-0.043785;1.297669;Dorsilexão Plantar
-0.036526;1.284098;Dorsilexão Plantar
-0.036526;1.284098;Dorsilexão Plantar
-0.041858;1.294589;Dorsilexão Plantar
-0.041457;1.296436;Dorsilexão Plantar
-0.041211;1.296501;Repouso
-0.041211;1.296501;Repouso
-0.041296;1.295922;Repouso
-0.036307;1.29538;Repouso
-0.036307;1.29538;Repouso
-0.036307;1.29538;Repouso
-0.041952;1.296536;Repouso
-0.040265;1.296501;Repouso
-0.040265;1.296501;Repouso
-0.040265;1.296501;Repouso
-0.040983;1.298522;Eversão
-0.037849;1.297113;Eversão
-0.034954;1.296243;Eversão
-0.034954;1.296243;Eversão
-0.0377;1.299176;Eversão
-0.037457;1.299749;Eversão
-0.037457;1.299749;Eversão
-0.037457;1.299749;Eversão
-0.041734;1.298135;Eversão
-0.040277;1.296664;Eversão
-0.037977;1.295706;Inversão
-0.037977;1.295706;Inversão
-0.044028;1.293582;Inversão
-0.031971;1.297085;Inversão
-0.031971;1.297085;Inversão
-0.031971;1.297085;Inversão
-0.041495;1.297906;Inversão
-0.037478;1.297093;Inversão
-0.037478;1.297093;Inversão
-0.038585;1.299621;Inversão
0.377725;1.167722;Flexão Plantar
0.372258;1.15326;Flexão Plantar
0.375791;1.151444;Flexão Plantar
0.358675;1.144969;Flexão Plantar
0.358675;1.144969;Flexão Plantar
0.358693;1.156371;Flexão Plantar
0.371546;1.14777;Flexão Plantar
0.371546;1.14777;Flexão Plantar
0.374799;1.150391;Flexão Plantar
0.372408;1.160231;Flexão Plantar
-0.07116;1.277956;Dorsilexão Plantar
-0.07116;1.277956;Dorsilexão Plantar
-0.061494;1.243249;Dorsilexão Plantar
-0.053625;1.243635;Dorsilexão Plantar
-0.053625;1.243635;Dorsilexão Plantar
-0.055057;1.247414;Dorsilexão Plantar
-0.058758;1.252245;Dorsilexão Plantar
-0.054697;1.250896;Dorsilexão Plantar
-0.054697;1.250896;Dorsilexão Plantar
-0.052182;1.245847;Dorsilexão Plantar
-0.055693;1.248376;Repouso
-0.054573;1.247557;Repouso
-0.052839;1.24689;Repouso
-0.052839;1.24689;Repouso
-0.055256;1.253884;Repouso
-0.054739;1.247484;Repouso
-0.054894;1.249269;Repouso
-0.054894;1.249269;Repouso
-0.054108;1.250014;Repouso
-0.055389;1.249866;Repouso
-0.057053;1.246667;Eversão
-0.054761;1.248149;Eversão
-0.054761;1.248149;Eversão
-0.054761;1.248149;Eversão
-0.052854;1.249268;Eversão
-0.052854;1.249268;Eversão
-0.052854;1.249268;Eversão
-0.052854;1.249268;Eversão
-0.053738;1.249643;Eversão
-0.053738;1.249643;Eversão
-0.054945;1.246667;Inversão
-0.053257;1.249194;Inversão
-0.057513;1.254396;Inversão
-0.057513;1.254396;Inversão
-0.043021;1.240909;Inversão
-0.051984;1.2244;Inversão
-0.051984;1.2244;Inversão
-0.051984;1.2244;Inversão
-0.056671;1.256681;Inversão
-0.05731;1.260968;Inversão
