pitch;roll;movimento
-0.764849;-1.441208;Flexão Plantar
-0.789546;-1.449609;Flexão Plantar
-0.770906;-1.453609;Flexão Plantar
-0.799619;-1.459026;Flexão Plantar
-0.798039;-1.468369;Flexão Plantar
-0.777156;-1.462074;Flexão Plantar
-0.773884;-1.447276;Flexão Plantar
-0.786439;-1.451109;Flexão Plantar
-0.749457;-1.473599;Flexão Plantar
-0.785518;-1.444315;Flexão Plantar
-0.142964;-1.196773;Dorsilexão Plantar
-0.139118;-1.208632;Dorsilexão Plantar
-0.135983;-1.22067;Dorsilexão Plantar
-0.136776;-1.228876;Dorsilexão Plantar
-0.136511;-1.211943;Dorsilexão Plantar
-0.141456;-1.216255;Dorsilexão Plantar
-0.140209;-1.213603;Dorsilexão Plantar
-0.137459;-1.214402;Dorsilexão Plantar
-0.138852;-1.216025;Dorsilexão Plantar
-0.139421;-1.213596;Dorsilexão Plantar
-0.137568;-1.218761;Repouso
-0.140888;-1.213023;Repouso
-0.137792;-1.222045;Repouso
-0.140543;-1.216082;Repouso
-0.138214;-1.216255;Repouso
-0.138265;-1.219507;Repouso
-0.140066;-1.21989;Repouso
-0.138663;-1.217039;Repouso
-0.139498;-1.219167;Repouso
-0.138961;-1.217491;Repouso
-0.138643;-1.21559;Eversão
-0.137667;-1.214094;Eversão
-0.140793;-1.215779;Eversão
-0.13905;-1.219263;Eversão
-0.140358;-1.214463;Eversão
-0.138425;-1.21266;Eversão
-0.140229;-1.217422;Eversão
-0.139554;-1.220273;Eversão
-0.14053;-1.217876;Eversão
-0.13994;-1.220614;Eversão
-0.139448;-1.213903;Inversão
-0.139541;-1.215052;Inversão
-0.136709;-1.205829;Inversão
-0.140827;-1.220884;Inversão
-0.137523;-1.216123;Inversão
-0.138986;-1.214782;Inversão
-0.137954;-1.218085;Inversão
-0.136706;-1.217199;Inversão
-0.141134;-1.218865;Inversão
-0.139224;-1.215394;Inversão
0.257217;-1.184998;Flexão Plantar
0.259853;-1.183023;Flexão Plantar
0.248001;-1.18525;Flexão Plantar
0.250107;-1.191279;Flexão Plantar
0.246071;-1.185173;Flexão Plantar
0.249506;-1.189797;Flexão Plantar
0.263166;-1.185688;Flexão Plantar
0.256192;-1.182529;Flexão Plantar
0.25977;-1.185202;Flexão Plantar
0.25772;-1.199442;Flexão Plantar
-0.152854;-1.221944;Dorsilexão Plantar
-0.140871;-1.246421;Dorsilexão Plantar
-0.140144;-1.233129;Dorsilexão Plantar
-0.139139;-1.238498;Dorsilexão Plantar
-0.141542;-1.238791;Dorsilexão Plantar
-0.141153;-1.238429;Dorsilexão Plantar
-0.137989;-1.238721;Dorsilexão Plantar
-0.138091;-1.237121;Dorsilexão Plantar
-0.141816;-1.237758;Dorsilexão Plantar
-0.139095;-1.24103;Dorsilexão Plantar
-0.14034;-1.242075;Repouso
-0.139655;-1.243798;Repouso
-0.141501;-1.241325;Repouso
-0.140671;-1.242905;Repouso
-0.142121;-1.239441;Repouso
-0.140378;-1.245303;Repouso
-0.138587;-1.242467;Repouso
-0.140893;-1.24343;Repouso
-0.141418;-1.241779;Repouso
-0.140873;-1.244479;Repouso
-0.140124;-1.244106;Eversão
-0.144543;-1.242524;Eversão
-0.143575;-1.245067;Eversão
-0.137884;-1.247476;Eversão
-0.140008;-1.247323;Eversão
-0.141291;-1.245967;Eversão
-0.142328;-1.244327;Eversão
-0.141317;-1.247025;Eversão
-0.141917;-1.246199;Eversão
-0.138836;-1.24635;Eversão
-0.14147;-1.244092;Inversão
-0.142324;-1.241018;Inversão
-0.140956;-1.24994;Inversão
-0.137545;-1.274251;Inversão
-0.148438;-1.212418;Inversão
-0.142475;-1.244164;Inversão
-0.144794;-1.243282;Inversão
-0.132045;-1.254547;Inversão
-0.134459;-1.252492;Inversão
-0.143764;-1.245974;Inversão
